Timestamp,xP,xI,xD,yP,yI,yD,zP,zI,zD,rollP,rollI,rollD,pitchP,pitchI,pitchD,yawP,yawI,yawD
2024.12.13-03.50.17,1,0,0.1,1,0,0.1,5,1,0.1,2.471,0.3,0.606,2.471,0.3,0.606,1.5,0.15,1.5
2024.12.13-03.55.36,1,0,0.1,1,0,0.1,4.639,1,0.1,4.746,0.3,2.347,4.746,0.3,2.347,1.809,0.075,0.942
2024.12.13-03.56.16,1,0,0.1,1,0,0.1,4.639,1,0.1,4.746,0.3,2.347,4.746,0.3,2.347,1.809,0.163,0.9
2024.12.13-03.56.51,1,0,0.1,1,0,0.1,4.7,1,0.1,4.75,0.3,2.347,4.75,0.3,2.347,1.8,0.17,0.9
2024.12.13-04.00.41,1,0,0.1,1,0,0.1,4.7,1,0.1,4.75,0.3,2.347,4.75,0.3,2.347,1.5,0.17,0.9
2025.01.13-13.10.31,1.33,0.748,0,1.33,0.748,0,0,0,0,6.926,3.823,4.211,6.926,3.823,4.211,0,0,0
2025.02.26-01.54.20,1,0,0.1,1,0,0.1,5,1,0.1,11.094,5.938,3.203,11.094,5.938,3.203,1.8,0.441,0.723
2025.02.27-02.01.58,1,0,0.1,1,0,0.1,5,1,0.1,13.305,6,3.3,13.305,6,3.3,4,0.652,2
2025.02.27-02.08.09,4.023,1.035,1.953,4.023,1.035,1.953,5,1,0.1,10,7.148,3.3,10,7.148,3.3,1.8,0.4,0.7
2025.02.27-14.53.51,4.023,1.035,1.953,4.023,1.035,1.953,5,1,0.1,10,7.148,3.3,10,7.148,3.3,1.8,0.4,0.7
2025.02.28-02.27.40,1,0,0.1,1,0,0.1,5,1,0.1,11,6,3.3,11,6,3.3,0,0,0
2025.03.26-22.10.10,1,0,0.1,1,0,0.1,5,1,0.1,4.75,0.3,2.347,4.75,0.3,2.347,1.4,1.3,1.1
2025.03.28-16.52.55,-0.6,0,0,0.6,0,0,5,0,0,4.75,0.3,2.347,4.75,0.3,2.347,1.4,1.3,1.1
2025.04.04-22.50.37,-0.1,0,0,0.1,0,0,5,0,0,5.646,3.363,0.961,5.646,3.363,0.961,1,0,0
2025.04.05-15.52.50,-0.02,0,0,0.02,0,0,5,0,0,6.929,0.3,2.347,6.929,0.3,2.347,1,0,0
2025.04.07-00.18.06,-0.03,0,0,0.03,0,0,5,0,0,2,0.1,0.9,2,0.1,0.9,1,0,0
2025.04.07-00.20.26,-0.03,0,0,0.03,0,0,5,0,0,2,0.4,0.5,2,0.4,0.5,1,0,0
2025.04.07-00.24.51,-0.03,0,0,0.03,0,0,5,0,0,1,0.1,0.4,1,0.1,0.4,1,0,0
2025.04.07-00.25.12,-0.03,0,0,0.03,0,0,5,0,0,1,0.3,0.4,1,0.3,0.4,1,0,0
2025.04.07-00.25.39,-0.03,0,0,0.03,0,0,5,0,0,1,0.3,0.5,1,0.3,0.5,1,0,0
