Timestamp,xP,xI,xD,yP,yI,yD,zP,zI,zD,rollP,rollI,rollD,pitchP,pitchI,pitchD,yawP,yawI,yawD
2024.12.13-03.50.17,1,0,0.1,1,0,0.1,5,1,0.1,2.471,0.3,0.606,2.471,0.3,0.606,1.5,0.15,1.5
2024.12.13-03.55.36,1,0,0.1,1,0,0.1,4.639,1,0.1,4.746,0.3,2.347,4.746,0.3,2.347,1.809,0.075,0.942
2024.12.13-03.56.16,1,0,0.1,1,0,0.1,4.639,1,0.1,4.746,0.3,2.347,4.746,0.3,2.347,1.809,0.163,0.9
2024.12.13-03.56.51,1,0,0.1,1,0,0.1,4.7,1,0.1,4.75,0.3,2.347,4.75,0.3,2.347,1.8,0.17,0.9
2024.12.13-04.00.41,1,0,0.1,1,0,0.1,4.7,1,0.1,4.75,0.3,2.347,4.75,0.3,2.347,1.5,0.17,0.9
2025.01.13-13.10.31,1.33,0.748,0,1.33,0.748,0,0,0,0,6.926,3.823,4.211,6.926,3.823,4.211,0,0,0
2025.02.26-01.54.20,1,0,0.1,1,0,0.1,5,1,0.1,11.094,5.938,3.203,11.094,5.938,3.203,1.8,0.441,0.723
2025.02.27-02.01.58,1,0,0.1,1,0,0.1,5,1,0.1,13.305,6,3.3,13.305,6,3.3,4,0.652,2
2025.02.27-02.08.09,4.023,1.035,1.953,4.023,1.035,1.953,5,1,0.1,10,7.148,3.3,10,7.148,3.3,1.8,0.4,0.7
2025.02.27-14.53.51,4.023,1.035,1.953,4.023,1.035,1.953,5.000,1.000,0.100,10.000,7.148,3.300,10.000,7.148,3.300,1.800,0.400,0.700
2025.02.28-02.27.40,1.000,0.000,0.100,1.000,0.000,0.100,5.000,1.000,0.100,11.000,6.000,3.300,11.000,6.000,3.300,0.000,0.000,0.000
2025.03.26-22.10.10,1.000,0.000,0.100,1.000,0.000,0.100,5.000,1.000,0.100,4.750,0.300,2.347,4.750,0.300,2.347,1.400,1.300,1.100
