Timestamp,xP,xI,xD,yP,yI,yD,zP,zI,zD,rollP,rollI,rollD,pitchP,pitchI,pitchD,yawP,yawI,yawD
2024.11.02-23.39.03,1,0,0.1,1,0,0.1,5,1,0.1,2.934,0.297,3.633,2.934,0.297,3.633,0,0,0
2024.11.02-23.39.04,1,0,0.1,1,0,0.1,5,1,0.1,2.934,0.297,3.633,2.934,0.297,3.633,0,0,0
2024.11.02-23.39.05,1,0,0.1,1,0,0.1,5,1,0.1,2.934,0.297,3.633,2.934,0.297,3.633,0,0,0
2024.11.02-23.39.06,1,0,0.1,1,0,0.1,5,1,0.1,2.934,0.297,3.633,2.934,0.297,3.633,0,0,0
2024.11.02-23.39.06,1,0,0.1,1,0,0.1,5,1,0.1,2.934,0.297,3.633,2.934,0.297,3.633,0,0,0
2024.11.02-23.41.17,2.214,1.87,2.481,2.214,1.87,2.481,5,1,0.1,2.934,0.297,3.633,2.934,0.297,3.633,0,0,0
2024.11.02-23.42.13,2.329,3.626,1.832,2.329,3.626,1.832,5.344,1,0.1,10.153,3.053,1.985,10.153,3.053,1.985,0,0,0
2024.11.02-23.42.24,2.329,3.626,1.832,2.329,3.626,1.832,5.344,1,0.1,10.153,5.419,6.26,10.153,5.419,6.26,0,0,0
2024.11.02-23.43.15,1.565,2.061,1.832,1.565,2.061,1.832,5.344,1,0.1,10.153,7.327,6.26,10.153,7.327,6.26,0,0,0
2024.11.02-23.53.05,2.329,3.626,1.832,2.329,3.626,1.832,5.344,1,0.1,11.755,5.267,9.008,11.755,5.267,9.008,0,0,0
2024.11.02-23.53.24,2.329,3.626,1.832,2.329,3.626,1.832,5.344,1,0.1,11.755,5.267,9.008,11.755,5.267,9.008,0,0,0
2024.11.02-23.53.27,2.329,3.626,1.832,2.329,3.626,1.832,5.344,1,0.1,11.755,5.267,9.008,11.755,5.267,9.008,0,0,0
2024.11.04-20.00.26,1.871,2.901,1.832,1.871,2.901,1.832,3.206,1,0.1,6.489,4.046,6.031,6.489,4.046,6.031,2.825,0,1.832
2024.11.06-12.32.31,3.123,3.626,1.832,3.123,3.626,1.832,5.344,1,0.1,7.81,9.33,5.206,7.81,9.33,5.206,1,0,0.5
2024.11.06-12.35.10,3.123,3.626,1.832,3.123,3.626,1.832,5.344,1,0.1,7.81,9.33,5.206,7.81,9.33,5.206,1,0,1.5
2024.11.06-12.35.35,3.123,3.626,1.832,3.123,3.626,1.832,5.344,1,0.1,7.81,9.33,5.206,7.81,9.33,5.206,1,0,1.5
2024.11.06-12.37.25,3,3.8,2,3,3.8,2,5.344,1,0.1,8,9.33,4,8,9.33,4,1,0,1.5
