#{"t_start": 1741831156.5895624, "env_id": "None"}
r,l,t
-564.299954,513,11.512874
-138.658097,513,15.636125
-250.173363,513,23.440121
-917.594168,513,33.698735
-536.793706,513,39.179742
-583.43003,513,47.121943
-564.299986,513,55.038018
-564.299894,513,65.260273
-264.182271,513,70.81948
1530.519673,513,84.388093
-485.888014,513,92.15396
-264.347624,513,99.866235
-377.83065,513,107.577841
-997.731054,513,115.263414
-575.282712,513,122.957916
-606.514185,513,130.647313
-302.006837,513,138.359616
-590.508029,513,146.029708
-565.375069,513,153.66378
-413.372783,513,161.353532
-628.850594,513,169.018042
-126.703528,513,176.647584
1614.50772,513,184.296042
1406.803387,513,197.900155
42.299237,513,205.723878
1996.870223,513,213.527706
2631.111907,513,221.30084
2904.58127,513,229.096934
-1360.333759,513,236.763783
-766.767312,513,244.388798
-688.062402,513,252.015773
282.427352,513,259.636653
-662.691009,513,267.256602
-667.860576,513,274.948993
-577.170024,513,282.663307
-564.299894,513,290.370739
-480.267004,513,298.146895
-520.798056,513,311.555809
-468.465636,513,319.246827
-525.206071,513,326.928972
629.493709,513,334.615793
1439.75992,513,342.364977
2235.813108,513,350.267609
1113.756107,513,358.065232
-574.849163,513,365.829938
1319.435916,513,373.407795
2002.311289,513,381.315778
590.650281,513,389.241097
141.913028,513,397.184286
-1583.270971,513,405.190497
-503.540945,513,413.225851
-871.92582,513,427.249732
-374.734528,513,435.282961
-411.599985,513,443.2632
281.054525,513,451.203722
898.544547,513,459.055834
1944.527402,513,468.454814
2267.797345,513,474.509455
1819.749663,513,482.255265
-179.605679,513,490.030668
1212.778566,513,499.45105
3410.812597,513,505.576513
-1208.808011,513,513.081581
-1076.41065,513,520.557494
-452.099175,513,529.738445
-1001.765537,513,541.114892
-556.462762,513,548.573828
-572.137098,513,556.032826
-537.154075,513,563.569167
405.418314,513,571.085701
-839.502352,513,578.574185
-877.934933,513,586.080252
73.397936,513,593.596472
139.249605,513,601.122451
1342.087148,513,608.727438
1490.787926,513,616.342148
737.420012,513,623.944528
862.459326,513,631.499718
2770.071223,513,639.167645
-477.482832,513,652.693271
-1267.945923,513,660.524873
-696.218087,513,668.382495
-906.261976,513,676.200886
-191.322641,513,684.00489
825.332305,513,691.842134
-291.385663,513,699.616994
-38.953285,513,707.371853
40.647524,513,715.107592
1799.308659,513,722.776708
1432.577322,513,730.464544
702.912697,513,738.173521
